id,name,code
a,Kotak Equity Hybrid Dir Gr,0P00014MH9.BO
a,HDFC Balanced Adv IDCW-R,0P0001EI14.BO
a,HDFC Hybrid Eq Gr,0P0001EI1B.BO
a,Kotak Balanced Advantage Fund Dir Gr,0P0001DZDR.BO
a,Kotak Debt Hybrid Dir Gr,0P0000XZRU.BO
a,Aditya BSL Regular Sav Dir Gr,0P0000XVXP.BO
b,Aditya Birla Sun Life India GenNext Fund,0P00005V54.BO
a,Aditya Birla Sun Life Equity Hybrid 95 Fund,0P00005V5U.BO
b,Mahindra Manulife Mid Cap Reg Gr,0P0001CEVZ.BO
b,HDFC Flexi Cap Dir Gr,0P0000XW77.BO
b,Union Flexi Cap Dir Gr,0P0000XVRX.BO
b,Kotak Emerging Equity Dir Gr,0P0000XV5R.BO
b,PGIM India Flexi Cap Dir Gr,0P00015I1S.BO
b,Aditya BSL Pure Value Dir Gr,0P0000XVXW.BO
b,Nippon India Small Cap Gr,0P0000PTGR.BO
b,Kotak Bluechip Dir Gr,0P0000XV5I.BO
b,Canara Robeco Flexi Cap Fund,0P00005V7E.BO
b,Canara Robeco Consumer Trends Reg Gr,0P0000KSLM.BO
b,PGIM India Midcap Opps Fund Dir Gr,0P00011MAT.BO
b,CHECK Canara Robeco Bluechip Equity Fund,0P0001B9T4.BO
b,HDFC Nifty200 momentum 30,0P0001SDC6.BO
